state,treated,period,post,employment,treated_x_post
NJ,1,-2,0,21.228445585811556,0
NJ,1,-2,0,22.452288123887044,0
NJ,1,-2,0,18.976678609770957,0
NJ,1,-2,0,21.741871706089277,0
NJ,1,-2,0,21.906142226482952,0
NJ,1,-2,0,15.070814520642958,0
NJ,1,-2,0,21.371534435719347,0
NJ,1,-2,0,16.18774551693061,0
NJ,1,-2,0,24.99151134087395,0
NJ,1,-2,0,18.570573935620267,0
NJ,1,-2,0,21.45649120845026,0
NJ,1,-2,0,23.859038042433195,0
NJ,1,-2,0,17.662532908778417,0
NJ,1,-2,0,17.865581582202076,0
NJ,1,-2,0,18.810657782554358,0
NJ,1,-2,0,25.352801848259627,0
NJ,1,-2,0,16.998877157106765,0
NJ,1,-2,0,20.070347569655112,0
NJ,1,-2,0,20.393044530836775,0
NJ,1,-2,0,20.150612953968267,0
NJ,1,-2,0,20.295378263060528,0
NJ,1,-2,0,18.648444760225495,0
NJ,1,-2,0,17.78372973789197,0
NJ,1,-2,0,19.500873862244898,0
NJ,1,-2,0,14.614179321877458,0
NJ,1,-2,0,25.53060649930287,0
NJ,1,-2,0,18.432258963344545,0
NJ,1,-2,0,19.115344985472834,0
NJ,1,-2,0,18.378155168840582,0
NJ,1,-2,0,21.41732679767231,0
NJ,1,-2,0,17.17838498933527,0
NJ,1,-2,0,16.206694257292632,0
NJ,1,-2,0,21.719860444193163,0
NJ,1,-2,0,20.472194858718442,0
NJ,1,-2,0,18.035425592425373,0
NJ,1,-2,0,23.73316213154855,0
NJ,1,-2,0,21.152667388409387,0
NJ,1,-2,0,21.37016831387736,0
NJ,1,-2,0,18.138430653009983,0
NJ,1,-2,0,17.524929340664706,0
NJ,1,-2,0,19.99304262647637,0
NJ,1,-2,0,17.710219815866655,0
NJ,1,-2,0,20.128527347677124,0
NJ,1,-2,0,22.159428910383188,0
NJ,1,-2,0,22.87595716115093,0
NJ,1,-2,0,20.244086161348907,0
NJ,1,-2,0,20.17362295672691,0
NJ,1,-2,0,20.79868467456258,0
NJ,1,-2,0,20.655871920464783,0
NJ,1,-2,0,17.463243695353537,0
NJ,1,-2,0,15.763828848533663,0
NJ,1,-2,0,23.0885294266925,0
NJ,1,-2,0,19.374148845873577,0
NJ,1,-2,0,18.803491060728618,0
NJ,1,-2,0,21.796899313460898,0
NJ,1,-2,0,22.925477051357483,0
NJ,1,-2,0,23.640799384031364,0
NJ,1,-2,0,20.21461455715375,0
NJ,1,-2,0,16.660508428113552,0
NJ,1,-2,0,23.846174746111345,0
NJ,1,-2,0,17.82402398224621,0
NJ,1,-2,0,20.900583075380172,0
NJ,1,-2,0,19.074584462392224,0
NJ,1,-2,0,22.33014880621453,0
NJ,1,-2,0,28.74253725937283,0
NJ,1,-2,0,25.273781841412898,0
NJ,1,-2,0,21.982890982363845,0
NJ,1,-2,0,19.837768752519946,0
NJ,1,-2,0,22.273335584735776,0
NJ,1,-2,0,20.30345651283788,0
NJ,1,-2,0,20.331845773229173,0
NJ,1,-2,0,24.762901708116686,0
NJ,1,-2,0,19.620557688241874,0
NJ,1,-2,0,23.94534045537155,0
NJ,1,-2,0,21.13382084073216,0
NJ,1,-2,0,20.33646393711033,0
NJ,1,-2,0,20.214599743062806,0
NJ,1,-2,0,21.109571341544903,0
NJ,1,-2,0,21.058768845230205,0
NJ,1,-2,0,18.08994639066235,0
PA,0,-2,0,18.19362324182231,0
PA,0,-2,0,20.62440303972639,0
PA,0,-2,0,19.176352849350465,0
PA,0,-2,0,16.92159486312978,0
PA,0,-2,0,19.472966966182813,0
PA,0,-2,0,14.443226027534257,0
PA,0,-2,0,14.560653493239412,0
PA,0,-2,0,13.87625422925149,0
PA,0,-2,0,13.901308889455649,0
PA,0,-2,0,14.159030371932781,0
PA,0,-2,0,16.584546683830112,0
PA,0,-2,0,16.12378839748606,0
PA,0,-2,0,15.338956706787053,0
PA,0,-2,0,18.244248512669316,0
PA,0,-2,0,15.907868465521018,0
PA,0,-2,0,19.45674126547141,0
PA,0,-2,0,20.953034162656003,0
PA,0,-2,0,15.043440884434816,0
PA,0,-2,0,21.79623978652166,0
PA,0,-2,0,15.891835131427246,0
PA,0,-2,0,16.25780635911816,0
PA,0,-2,0,18.681478925450836,0
PA,0,-2,0,11.982334538465537,0
PA,0,-2,0,13.027126619549414,0
PA,0,-2,0,16.132729967704257,0
PA,0,-2,0,16.268512925133237,0
PA,0,-2,0,11.606668130982502,0
PA,0,-2,0,18.069508867800955,0
PA,0,-2,0,15.031243814778431,0
PA,0,-2,0,17.303122718684996,0
PA,0,-2,0,15.03739826440254,0
PA,0,-2,0,20.001996623018147,0
PA,0,-2,0,14.17959610439938,0
PA,0,-2,0,14.028373084079687,0
PA,0,-2,0,11.078241251195765,0
PA,0,-2,0,16.456078246440825,0
PA,0,-2,0,18.635600254812097,0
PA,0,-2,0,20.719433144523506,0
PA,0,-2,0,16.41740862473888,0
PA,0,-2,0,17.863801109027698,0
PA,0,-2,0,14.124368180579587,0
PA,0,-2,0,18.41471286620451,0
PA,0,-2,0,18.464394683558055,0
PA,0,-2,0,17.18095832090443,0
PA,0,-2,0,13.585156889926381,0
PA,0,-2,0,13.330306126452157,0
PA,0,-2,0,18.73326950965591,0
PA,0,-2,0,11.492280501028368,0
PA,0,-2,0,20.760726830434034,0
PA,0,-2,0,12.0884361142304,0
PA,0,-2,0,18.471230908689925,0
PA,0,-2,0,10.749406354308007,0
PA,0,-2,0,17.365254893686398,0
PA,0,-2,0,19.738987908818963,0
PA,0,-2,0,19.181977079156017,0
PA,0,-2,0,21.60350405342219,0
PA,0,-2,0,21.674199884865807,0
PA,0,-2,0,15.51526087604449,0
PA,0,-2,0,12.20565879204253,0
PA,0,-2,0,15.759673639893442,0
PA,0,-2,0,12.124351356244471,0
PA,0,-2,0,17.56106776095094,0
PA,0,-2,0,13.19656273857867,0
PA,0,-2,0,14.57863630879125,0
PA,0,-2,0,13.40283823224552,0
PA,0,-2,0,15.675052453804874,0
PA,0,-2,0,16.42820443369078,0
PA,0,-2,0,17.28563591016141,0
PA,0,-2,0,20.85546781723643,0
PA,0,-2,0,17.108986052262185,0
PA,0,-2,0,16.954529366847634,0
PA,0,-2,0,17.33498421661325,0
PA,0,-2,0,21.825905330028444,0
PA,0,-2,0,21.6458312970038,0
PA,0,-2,0,15.949504611572694,0
PA,0,-2,0,17.35943996492078,0
PA,0,-2,0,16.104823156987898,0
PA,0,-2,0,17.1358671879127,0
PA,0,-2,0,16.870822252754845,0
PA,0,-2,0,19.379468852918798,0
NJ,1,-1,0,21.619686942176905,0
NJ,1,-1,0,27.167967874413215,0
NJ,1,-1,0,24.608514455183325,0
NJ,1,-1,0,20.962493374549215,0
NJ,1,-1,0,19.397662088121187,0
NJ,1,-1,0,23.066612732513605,0
NJ,1,-1,0,28.631603038005856,0
NJ,1,-1,0,19.99059357155,0
NJ,1,-1,0,23.020820296727663,0
NJ,1,-1,0,25.945240771857176,0
NJ,1,-1,0,23.616572071321592,0
NJ,1,-1,0,21.50132084818626,0
NJ,1,-1,0,21.26871127624993,0
NJ,1,-1,0,20.162131264252565,0
NJ,1,-1,0,16.813599951238004,0
NJ,1,-1,0,21.680173625955554,0
NJ,1,-1,0,19.815566645156856,0
NJ,1,-1,0,22.10103255200657,0
NJ,1,-1,0,22.151848315055105,0
NJ,1,-1,0,17.109834371340177,0
NJ,1,-1,0,19.70839908141791,0
NJ,1,-1,0,23.139931386119475,0
NJ,1,-1,0,23.355772801290247,0
NJ,1,-1,0,17.710146646583553,0
NJ,1,-1,0,22.61476409614454,0
NJ,1,-1,0,22.70931168807575,0
NJ,1,-1,0,18.208435483805044,0
NJ,1,-1,0,21.470221906324813,0
NJ,1,-1,0,20.310516276635198,0
NJ,1,-1,0,18.362083714893632,0
NJ,1,-1,0,19.339302191576568,0
NJ,1,-1,0,23.268164572688708,0
NJ,1,-1,0,20.221798852795366,0
NJ,1,-1,0,16.96845482773029,0
NJ,1,-1,0,23.383057794527332,0
NJ,1,-1,0,21.62334241412642,0
NJ,1,-1,0,17.384431591885516,0
NJ,1,-1,0,16.810013589868454,0
NJ,1,-1,0,20.422056606062824,0
NJ,1,-1,0,19.717258647716903,0
NJ,1,-1,0,20.248902768600644,0
NJ,1,-1,0,22.239132034841077,0
NJ,1,-1,0,21.527355272848354,0
NJ,1,-1,0,17.64663578856914,0
NJ,1,-1,0,21.80617927600359,0
NJ,1,-1,0,22.620897385675878,0
NJ,1,-1,0,25.44129823094778,0
NJ,1,-1,0,20.721784242641675,0
NJ,1,-1,0,24.95369489369264,0
NJ,1,-1,0,19.16444122154166,0
NJ,1,-1,0,16.40019911642946,0
NJ,1,-1,0,23.31920345595945,0
NJ,1,-1,0,18.15278809620939,0
NJ,1,-1,0,23.67642667873192,0
NJ,1,-1,0,18.567659325013675,0
NJ,1,-1,0,22.96594598950547,0
NJ,1,-1,0,22.990641654413523,0
NJ,1,-1,0,21.9331242586075,0
NJ,1,-1,0,20.16084840400767,0
NJ,1,-1,0,17.409650793641696,0
NJ,1,-1,0,22.396622482306082,0
NJ,1,-1,0,19.8846489619327,0
NJ,1,-1,0,20.4523476719184,0
NJ,1,-1,0,23.27845019608296,0
NJ,1,-1,0,15.484365483039273,0
NJ,1,-1,0,19.926136821772186,0
NJ,1,-1,0,22.582070314206398,0
NJ,1,-1,0,22.457158010446893,0
NJ,1,-1,0,17.21020785371684,0
NJ,1,-1,0,23.76130174363743,0
NJ,1,-1,0,20.77590763823436,0
NJ,1,-1,0,27.074558158344733,0
NJ,1,-1,0,23.405874659955785,0
NJ,1,-1,0,23.90140816113968,0
NJ,1,-1,0,23.05730592013239,0
NJ,1,-1,0,16.33023855266297,0
NJ,1,-1,0,22.19753079196733,0
NJ,1,-1,0,21.495455938832986,0
NJ,1,-1,0,15.921933715109873,0
NJ,1,-1,0,18.91749061646908,0
PA,0,-1,0,16.71022643956141,0
PA,0,-1,0,16.332227229687156,0
PA,0,-1,0,15.437359650479447,0
PA,0,-1,0,16.445637461593545,0
PA,0,-1,0,14.39347329152388,0
PA,0,-1,0,22.889336946253195,0
PA,0,-1,0,15.665954477998035,0
PA,0,-1,0,15.807600228285985,0
PA,0,-1,0,16.91436024076529,0
PA,0,-1,0,16.485805002010142,0
PA,0,-1,0,12.818643260883054,0
PA,0,-1,0,17.087179061369728,0
PA,0,-1,0,12.684195984709635,0
PA,0,-1,0,17.54665709275138,0
PA,0,-1,0,16.273644295915304,0
PA,0,-1,0,19.242629198850327,0
PA,0,-1,0,18.41612550906649,0
PA,0,-1,0,21.371997484391805,0
PA,0,-1,0,15.92540976676371,0
PA,0,-1,0,16.54808921932913,0
PA,0,-1,0,23.419564708937493,0
PA,0,-1,0,24.06147276496999,0
PA,0,-1,0,18.7624424529162,0
PA,0,-1,0,17.883180023401373,0
PA,0,-1,0,16.309157433513597,0
PA,0,-1,0,15.359377368284427,0
PA,0,-1,0,15.65819868945263,0
PA,0,-1,0,15.760086745496361,0
PA,0,-1,0,16.539636157205678,0
PA,0,-1,0,16.775147362757174,0
PA,0,-1,0,17.018952775101837,0
PA,0,-1,0,19.604423124639403,0
PA,0,-1,0,15.862569121592138,0
PA,0,-1,0,14.041953404421253,0
PA,0,-1,0,19.125434412115236,0
PA,0,-1,0,17.28657329929548,0
PA,0,-1,0,18.974855079119806,0
PA,0,-1,0,14.764409288011372,0
PA,0,-1,0,13.716297087029034,0
PA,0,-1,0,15.14972925427713,0
PA,0,-1,0,19.24437086819488,0
PA,0,-1,0,15.628140964664036,0
PA,0,-1,0,16.871615124262348,0
PA,0,-1,0,19.959457096951393,0
PA,0,-1,0,15.713004095336993,0
PA,0,-1,0,16.407680857568906,0
PA,0,-1,0,18.804990478887866,0
PA,0,-1,0,20.920223970742146,0
PA,0,-1,0,16.55339570968953,0
PA,0,-1,0,18.471460782817676,0
PA,0,-1,0,23.967570595033838,0
PA,0,-1,0,14.727850478970083,0
PA,0,-1,0,18.12476973262916,0
PA,0,-1,0,21.681568083767935,0
PA,0,-1,0,17.241160620390353,0
PA,0,-1,0,16.785109813654095,0
PA,0,-1,0,15.966320970707528,0
PA,0,-1,0,18.84687136427574,0
PA,0,-1,0,21.55713065993885,0
PA,0,-1,0,18.85961401883712,0
PA,0,-1,0,22.916138632664367,0
PA,0,-1,0,19.216052019874894,0
PA,0,-1,0,20.76985022010743,0
PA,0,-1,0,23.45906181208125,0
PA,0,-1,0,12.51170753591453,0
PA,0,-1,0,14.557047729189286,0
PA,0,-1,0,15.315203787845125,0
PA,0,-1,0,15.061382143144911,0
PA,0,-1,0,23.543298213479034,0
PA,0,-1,0,18.06879279085229,0
PA,0,-1,0,20.872713346219644,0
PA,0,-1,0,18.62869206983835,0
PA,0,-1,0,18.129156822008355,0
PA,0,-1,0,11.326595478374353,0
PA,0,-1,0,14.942869455228456,0
PA,0,-1,0,15.267229445784414,0
PA,0,-1,0,12.549064579402987,0
PA,0,-1,0,24.924777061130072,0
PA,0,-1,0,16.559985856570265,0
PA,0,-1,0,14.700801247230421,0
NJ,1,0,0,23.186349201684905,0
NJ,1,0,0,22.13892563458992,0
NJ,1,0,0,19.358099307562334,0
NJ,1,0,0,20.65063853544154,0
NJ,1,0,0,25.10406846789488,0
NJ,1,0,0,23.6681839731839,0
NJ,1,0,0,22.322714994112648,0
NJ,1,0,0,22.928234630588918,0
NJ,1,0,0,22.473074273150516,0
NJ,1,0,0,15.980090280104076,0
NJ,1,0,0,24.667403186112796,0
NJ,1,0,0,20.40809870083592,0
NJ,1,0,0,22.64954652722551,0
NJ,1,0,0,20.961551945660005,0
NJ,1,0,0,23.000017588950083,0
NJ,1,0,0,17.508340257439457,0
NJ,1,0,0,24.503275959710848,0
NJ,1,0,0,24.100742243932853,0
NJ,1,0,0,17.85903291483095,0
NJ,1,0,0,23.09521800678875,0
NJ,1,0,0,20.888643633223143,0
NJ,1,0,0,21.635574440645012,0
NJ,1,0,0,19.050743592831246,0
NJ,1,0,0,21.86595964395522,0
NJ,1,0,0,19.062347286959984,0
NJ,1,0,0,21.35964310776538,0
NJ,1,0,0,22.284625207848055,0
NJ,1,0,0,22.908813274975177,0
NJ,1,0,0,21.24778752678288,0
NJ,1,0,0,18.98351723101094,0
NJ,1,0,0,20.53528733100058,0
NJ,1,0,0,21.07629038503779,0
NJ,1,0,0,16.029834502483787,0
NJ,1,0,0,27.697592964236858,0
NJ,1,0,0,23.016316333399626,0
NJ,1,0,0,23.985851715260225,0
NJ,1,0,0,27.368229695193257,0
NJ,1,0,0,18.866777917256783,0
NJ,1,0,0,24.33317432398504,0
NJ,1,0,0,26.861734821412107,0
NJ,1,0,0,26.522938163823838,0
NJ,1,0,0,20.91192115083324,0
NJ,1,0,0,23.710338189467343,0
NJ,1,0,0,19.046145132367396,0
NJ,1,0,0,20.050790050029665,0
NJ,1,0,0,19.792272279170756,0
NJ,1,0,0,22.051839973298364,0
NJ,1,0,0,22.642994776319895,0
NJ,1,0,0,24.632103127953428,0
NJ,1,0,0,24.87383623143113,0
NJ,1,0,0,22.457067343784043,0
NJ,1,0,0,26.25048447975557,0
NJ,1,0,0,20.824187417941197,0
NJ,1,0,0,21.603716187879307,0
NJ,1,0,0,17.675613730637306,0
NJ,1,0,0,21.25590035051955,0
NJ,1,0,0,26.47770544632282,0
NJ,1,0,0,19.63025498783959,0
NJ,1,0,0,22.955133740391364,0
NJ,1,0,0,23.985596797547025,0
NJ,1,0,0,20.516820691837147,0
NJ,1,0,0,20.88709362087039,0
NJ,1,0,0,19.5491814498382,0
NJ,1,0,0,23.37136899794223,0
NJ,1,0,0,23.747708176019646,0
NJ,1,0,0,25.0496437098856,0
NJ,1,0,0,20.803627680552303,0
NJ,1,0,0,20.573135046795308,0
NJ,1,0,0,18.73640295742298,0
NJ,1,0,0,24.664963560667843,0
NJ,1,0,0,25.318181585552775,0
NJ,1,0,0,21.86046727884027,0
NJ,1,0,0,24.50638315722539,0
NJ,1,0,0,23.759198682992686,0
NJ,1,0,0,24.697697281984833,0
NJ,1,0,0,24.038652907599413,0
NJ,1,0,0,18.994721508527547,0
NJ,1,0,0,19.526315911493523,0
NJ,1,0,0,24.932632161211806,0
NJ,1,0,0,21.242605237545412,0
PA,0,0,0,15.990927368934484,0
PA,0,0,0,18.0019368523123,0
PA,0,0,0,25.008397836564384,0
PA,0,0,0,17.28154272339377,0
PA,0,0,0,19.067283249058626,0
PA,0,0,0,19.338680517004533,0
PA,0,0,0,22.066283109470277,0
PA,0,0,0,19.357709569179782,0
PA,0,0,0,16.236185420694472,0
PA,0,0,0,20.66645923781663,0
PA,0,0,0,21.124429342266176,0
PA,0,0,0,16.76092846651019,0
PA,0,0,0,17.49791869819056,0
PA,0,0,0,16.403695375156964,0
PA,0,0,0,18.73945218259733,0
PA,0,0,0,14.839455167028959,0
PA,0,0,0,19.41933569669461,0
PA,0,0,0,20.030903080074218,0
PA,0,0,0,24.785984154945616,0
PA,0,0,0,20.273855131476253,0
PA,0,0,0,19.48683873648879,0
PA,0,0,0,18.588542063434392,0
PA,0,0,0,20.305037061860617,0
PA,0,0,0,18.846138266582788,0
PA,0,0,0,23.412773437722485,0
PA,0,0,0,23.923849180658756,0
PA,0,0,0,20.895093811929915,0
PA,0,0,0,18.581429979080824,0
PA,0,0,0,26.52762875023195,0
PA,0,0,0,21.43619162146668,0
PA,0,0,0,15.512543304442348,0
PA,0,0,0,16.442262119362937,0
PA,0,0,0,24.02657251205574,0
PA,0,0,0,22.481574189458403,0
PA,0,0,0,15.720636098069914,0
PA,0,0,0,19.096086576793727,0
PA,0,0,0,17.50394544228464,0
PA,0,0,0,20.907312089008357,0
PA,0,0,0,18.3192256738783,0
PA,0,0,0,17.38743051142204,0
PA,0,0,0,26.87763768883114,0
PA,0,0,0,24.28920840328841,0
PA,0,0,0,13.363248170547898,0
PA,0,0,0,20.49174076525289,0
PA,0,0,0,20.03280398621769,0
PA,0,0,0,21.4234395315078,0
PA,0,0,0,20.276474047535174,0
PA,0,0,0,19.737440913089113,0
PA,0,0,0,21.087950521394813,0
PA,0,0,0,16.050702118758327,0
PA,0,0,0,15.251407586814977,0
PA,0,0,0,12.626654537256963,0
PA,0,0,0,14.936678285729283,0
PA,0,0,0,15.484896268358153,0
PA,0,0,0,17.120814636525083,0
PA,0,0,0,22.212748355274005,0
PA,0,0,0,18.266292477536183,0
PA,0,0,0,18.099316698663955,0
PA,0,0,0,19.19763514252703,0
PA,0,0,0,20.879091018424084,0
PA,0,0,0,25.771703216349792,0
PA,0,0,0,22.44133439673515,0
PA,0,0,0,22.62818955064052,0
PA,0,0,0,14.241043064049038,0
PA,0,0,0,19.355934385497573,0
PA,0,0,0,18.862174003118664,0
PA,0,0,0,21.41738867464415,0
PA,0,0,0,23.267631533799452,0
PA,0,0,0,16.92890736480382,0
PA,0,0,0,16.720704166681237,0
PA,0,0,0,14.389034851726203,0
PA,0,0,0,16.730459343247713,0
PA,0,0,0,20.841221393723533,0
PA,0,0,0,19.12639647832512,0
PA,0,0,0,20.366124260208466,0
PA,0,0,0,17.69328481465608,0
PA,0,0,0,21.13967940538213,0
PA,0,0,0,19.312516636023936,0
PA,0,0,0,20.82069823775213,0
PA,0,0,0,23.770055960420937,0
NJ,1,1,1,22.387633366579994,1
NJ,1,1,1,19.690967651845924,1
